team,opponent_team,date,site,incident,time,var_used,incident_type
Brighton & Hove Albion,West Ham,Aug. 17,H,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,AGAINST,Offside
Brighton & Hove Albion,Aston Villa,Oct. 19,A,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,FOR,Foul
Brighton & Hove Albion,Everton,Oct. 26,H,Penalty awarded (scored by Neil Maupay) for foul on Aaron Connolly by Michael Keane,78th minute,FOR,Penalty
Brighton & Hove Albion,Leicester,Nov. 23,H,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,80th minute,FOR,Penalty
Brighton & Hove Albion,Arsenal ,Dec. 5,A,David Luiz goal disallowed for offside,63rd minute,FOR,Offside
Brighton & Hove Albion,Sheffield United ,Dec. 21,H,John Egan goal ruled out for handball,8th minute,FOR,Handball
Brighton & Hove Albion,Sheffield United ,Dec. 21,H,Jack O'Connell goal disallowed for offside,54th minute,FOR,Offside
Brighton & Hove Albion,Tottenham,Dec. 26,A,Harry Kane goal ruled out for offside,24th minute,FOR,Offside
Brighton & Hove Albion,Bournemouth,Dec. 28,H,Dan Burn goal ruled out for offside,58th minute,AGAINST,Offside
Brighton & Hove Albion,Everton,Jan. 11,A,Goal for Dominic Calvert-Lewin ruled out for handball,75th minute,FOR,Handball
Brighton & Hove Albion,West Ham,Feb. 1,A,Goal for Glenn Murray allowed after incorrect handball,79th minute,FOR,Handball
Brighton & Hove Albion,Burnley,July 26,A,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,57th minute,FOR,Offside
Manchester United,Arsenal,Sept. 30,H,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",58th minute,AGAINST,Offside
Manchester United,Liverpool,Oct. 20,H,Sadio Mane goal ruled out for handball,43rd minute,FOR,Handball
Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,25th minute,FOR,Penalty
Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,41st minute,FOR,Penalty
Manchester United,Man City,Dec. 7,A,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,23rd minute,FOR,Penalty
Manchester United,Liverpool,Jan. 19,A,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,25th minute,FOR,Foul
Manchester United,Chelsea,Feb. 17,A,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,55th minute,FOR,Foul
Manchester United,Chelsea,Feb. 17,A,Olivier Giroud goal disallowed for offside,77th minute,FOR,Offside
Manchester United,Watford,Feb. 23,H,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,FOR,Handball
